activation,hidden_dim,parameters,train_loss,train_accuracy,val_loss,val_accuracy,runtime_seconds
relu,16,65,0.17610393464565277,0.9166666865348816,0.2505071759223938,0.8999999761581421,6.691153400053736
tanh,16,65,0.1927228569984436,0.9027777910232544,0.25790172815322876,0.8999999761581421,6.722186699975282
tanh,4,17,0.2591988444328308,0.8888888955116272,0.3257695436477661,0.8666666746139526,6.7125215999549255
relu,4,17,0.24101504683494568,0.8888888955116272,0.3326191008090973,0.8583333492279053,6.965890300052706
sigmoid,16,65,0.27163973450660706,0.875,0.3443087935447693,0.8500000238418579,6.672342300007585
sigmoid,4,17,0.27719926834106445,0.875,0.34901663661003113,0.8416666388511658,6.978512999950908
